[2026-01-25T15:02:00.527+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T15:00:36+00:00 [None]>
[2026-01-25T15:02:00.533+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T15:00:36+00:00 [None]>
[2026-01-25T15:02:00.533+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T15:02:00.533+0000] {taskinstance.py:2249} WARNING - cannot record queued_duration for task fetch_and_store_swaps because previous state change time has not been saved
[2026-01-25T15:02:00.541+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 15:00:36+00:00
[2026-01-25T15:02:00.544+0000] {standard_task_runner.py:60} INFO - Started process 1235 to run task
[2026-01-25T15:02:00.547+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T15:00:36+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpp8dg_j4n']
[2026-01-25T15:02:00.549+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask fetch_and_store_swaps
[2026-01-25T15:02:00.584+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T15:00:36+00:00 [running]> on host f2da44f39545
[2026-01-25T15:02:00.635+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T15:00:36+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-25T15:00:36+00:00'
[2026-01-25T15:02:00.642+0000] {logging_mixin.py:188} INFO - Database is empty. Starting 90-day backfill...
[2026-01-25T15:02:00.642+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-10-27 15:02:00.642365 to 2026-01-25 15:02:00.642885
[2026-01-25T15:02:02.928+0000] {logging_mixin.py:188} INFO - [15:02:02] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T15:02:05.294+0000] {logging_mixin.py:188} INFO - [15:02:05] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T15:02:07.631+0000] {logging_mixin.py:188} INFO - [15:02:07] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T15:02:09.775+0000] {logging_mixin.py:188} INFO - [15:02:09] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T15:02:12.019+0000] {logging_mixin.py:188} INFO - [15:02:12] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T15:02:14.235+0000] {logging_mixin.py:188} INFO - [15:02:14] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T15:02:16.610+0000] {logging_mixin.py:188} INFO - [15:02:16] Fetched 1000 swaps from token0_in (Total: 7000)
