[2026-01-25T16:26:36.681+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T16:26:36.686+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:26:36.693+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:26:34.610211+00:00
[2026-01-25T16:26:36.697+0000] {standard_task_runner.py:60} INFO - Started process 20537 to run task
[2026-01-25T16:26:36.700+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:26:34.610211+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp0si3bgh6']
[2026-01-25T16:26:36.703+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask fetch_and_store_swaps
[2026-01-25T16:26:36.742+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [running]> on host f2da44f39545
[2026-01-25T16:26:36.817+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:26:34.610211+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-25T16:26:34.610211+00:00'
[2026-01-25T16:26:36.831+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-11-01 11:35:23. Fetching new swaps...
[2026-01-25T16:26:36.832+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-11-01 11:35:24 to 2026-01-25 16:26:36.832281
[2026-01-25T16:26:38.456+0000] {logging_mixin.py:188} INFO - [16:26:38] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T16:26:40.149+0000] {logging_mixin.py:188} INFO - [16:26:40] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T16:26:42.051+0000] {logging_mixin.py:188} INFO - [16:26:42] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T16:26:43.709+0000] {logging_mixin.py:188} INFO - [16:26:43] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T16:26:45.215+0000] {logging_mixin.py:188} INFO - [16:26:45] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T16:26:46.767+0000] {logging_mixin.py:188} INFO - [16:26:46] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T16:26:48.360+0000] {logging_mixin.py:188} INFO - [16:26:48] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T16:26:50.031+0000] {logging_mixin.py:188} INFO - [16:26:50] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T16:26:51.512+0000] {logging_mixin.py:188} INFO - [16:26:51] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T16:26:53.069+0000] {logging_mixin.py:188} INFO - [16:26:53] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T16:26:54.642+0000] {logging_mixin.py:188} INFO - [16:26:54] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T16:26:56.107+0000] {logging_mixin.py:188} INFO - [16:26:56] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T16:26:57.840+0000] {logging_mixin.py:188} INFO - [16:26:57] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T16:26:59.445+0000] {logging_mixin.py:188} INFO - [16:26:59] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T16:27:01.054+0000] {logging_mixin.py:188} INFO - [16:27:01] Fetched 1000 swaps from token0_in (Total: 15000)
[2026-01-25T16:27:02.569+0000] {logging_mixin.py:188} INFO - [16:27:02] Fetched 1000 swaps from token0_in (Total: 16000)
[2026-01-25T16:27:04.285+0000] {logging_mixin.py:188} INFO - [16:27:04] Fetched 1000 swaps from token0_in (Total: 17000)
[2026-01-25T16:27:05.882+0000] {logging_mixin.py:188} INFO - [16:27:05] Fetched 1000 swaps from token0_in (Total: 18000)
[2026-01-25T16:27:07.450+0000] {logging_mixin.py:188} INFO - [16:27:07] Fetched 1000 swaps from token0_in (Total: 19000)
[2026-01-25T16:27:08.957+0000] {logging_mixin.py:188} INFO - [16:27:08] Fetched 1000 swaps from token0_in (Total: 20000)
[2026-01-25T16:27:10.579+0000] {logging_mixin.py:188} INFO - [16:27:10] Fetched 1000 swaps from token0_in (Total: 21000)
[2026-01-25T16:27:12.159+0000] {logging_mixin.py:188} INFO - [16:27:12] Fetched 1000 swaps from token0_in (Total: 22000)
[2026-01-25T16:27:13.995+0000] {logging_mixin.py:188} INFO - [16:27:13] Fetched 1000 swaps from token0_in (Total: 23000)
[2026-01-25T16:27:15.534+0000] {logging_mixin.py:188} INFO - [16:27:15] Fetched 1000 swaps from token0_in (Total: 24000)
[2026-01-25T16:27:17.074+0000] {logging_mixin.py:188} INFO - [16:27:17] Fetched 1000 swaps from token0_in (Total: 25000)
[2026-01-25T16:27:18.578+0000] {logging_mixin.py:188} INFO - [16:27:18] Fetched 1000 swaps from token0_in (Total: 26000)
[2026-01-25T16:27:20.012+0000] {logging_mixin.py:188} INFO - [16:27:20] Fetched 1000 swaps from token0_in (Total: 27000)
[2026-01-25T16:27:21.626+0000] {logging_mixin.py:188} INFO - [16:27:21] Fetched 1000 swaps from token0_in (Total: 28000)
[2026-01-25T16:27:23.208+0000] {logging_mixin.py:188} INFO - [16:27:23] Fetched 1000 swaps from token0_in (Total: 29000)
[2026-01-25T16:27:24.877+0000] {logging_mixin.py:188} INFO - [16:27:24] Fetched 1000 swaps from token0_in (Total: 30000)
[2026-01-25T16:27:26.498+0000] {logging_mixin.py:188} INFO - [16:27:26] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T16:27:28.072+0000] {logging_mixin.py:188} INFO - [16:27:28] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T16:27:29.612+0000] {logging_mixin.py:188} INFO - [16:27:29] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T16:27:31.763+0000] {logging_mixin.py:188} INFO - [16:27:31] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T16:27:33.500+0000] {logging_mixin.py:188} INFO - [16:27:33] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T16:27:35.084+0000] {logging_mixin.py:188} INFO - [16:27:35] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T16:27:36.658+0000] {logging_mixin.py:188} INFO - [16:27:36] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T16:27:38.199+0000] {logging_mixin.py:188} INFO - [16:27:38] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T16:27:39.744+0000] {logging_mixin.py:188} INFO - [16:27:39] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T16:27:41.603+0000] {logging_mixin.py:188} INFO - [16:27:41] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T16:27:43.093+0000] {logging_mixin.py:188} INFO - [16:27:43] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T16:27:44.719+0000] {logging_mixin.py:188} INFO - [16:27:44] Fetched 1000 swaps from token0_in (Total: 42000)
