[2026-01-25T17:25:47.280+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T17:25:47.288+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [queued]>
[2026-01-25T17:25:47.289+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:25:47.309+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:26:34.610211+00:00
[2026-01-25T17:25:47.320+0000] {standard_task_runner.py:60} INFO - Started process 3159 to run task
[2026-01-25T17:25:47.323+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:26:34.610211+00:00', '--job-id', '14', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpgeh820vw']
[2026-01-25T17:25:47.327+0000] {standard_task_runner.py:88} INFO - Job 14: Subtask fetch_and_store_swaps
[2026-01-25T17:25:47.377+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:26:34.610211+00:00 [running]> on host f2da44f39545
[2026-01-25T17:25:47.539+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:26:34.610211+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-25T16:26:34.610211+00:00'
[2026-01-25T17:25:47.793+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-11-26 01:08:11. Fetching new swaps...
[2026-01-25T17:25:47.796+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-11-26 01:08:12 to 2026-01-25 17:25:47.796498
[2026-01-25T17:25:49.184+0000] {logging_mixin.py:188} INFO - [17:25:49] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T17:25:50.430+0000] {logging_mixin.py:188} INFO - [17:25:50] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T17:25:51.638+0000] {logging_mixin.py:188} INFO - [17:25:51] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T17:25:52.825+0000] {logging_mixin.py:188} INFO - [17:25:52] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T17:25:54.283+0000] {logging_mixin.py:188} INFO - [17:25:54] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T17:25:55.658+0000] {logging_mixin.py:188} INFO - [17:25:55] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T17:25:57.055+0000] {logging_mixin.py:188} INFO - [17:25:57] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T17:25:58.503+0000] {logging_mixin.py:188} INFO - [17:25:58] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T17:26:00.155+0000] {logging_mixin.py:188} INFO - [17:26:00] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T17:26:01.763+0000] {logging_mixin.py:188} INFO - [17:26:01] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T17:26:03.061+0000] {logging_mixin.py:188} INFO - [17:26:03] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T17:26:04.458+0000] {logging_mixin.py:188} INFO - [17:26:04] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T17:26:06.001+0000] {logging_mixin.py:188} INFO - [17:26:06] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T17:26:07.491+0000] {logging_mixin.py:188} INFO - [17:26:07] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T17:26:08.966+0000] {logging_mixin.py:188} INFO - [17:26:08] Fetched 1000 swaps from token0_in (Total: 15000)
[2026-01-25T17:26:10.577+0000] {logging_mixin.py:188} INFO - [17:26:10] Fetched 1000 swaps from token0_in (Total: 16000)
[2026-01-25T17:26:12.901+0000] {logging_mixin.py:188} INFO - [17:26:12] Fetched 1000 swaps from token0_in (Total: 17000)
[2026-01-25T17:26:14.570+0000] {logging_mixin.py:188} INFO - [17:26:14] Fetched 1000 swaps from token0_in (Total: 18000)
[2026-01-25T17:26:16.869+0000] {logging_mixin.py:188} INFO - [17:26:16] Fetched 1000 swaps from token0_in (Total: 19000)
[2026-01-25T17:26:19.409+0000] {logging_mixin.py:188} INFO - [17:26:19] Fetched 1000 swaps from token0_in (Total: 20000)
[2026-01-25T17:26:21.628+0000] {logging_mixin.py:188} INFO - [17:26:21] Fetched 1000 swaps from token0_in (Total: 21000)
[2026-01-25T17:26:23.140+0000] {logging_mixin.py:188} INFO - [17:26:23] Fetched 1000 swaps from token0_in (Total: 22000)
[2026-01-25T17:26:24.862+0000] {logging_mixin.py:188} INFO - [17:26:24] Fetched 1000 swaps from token0_in (Total: 23000)
[2026-01-25T17:26:26.399+0000] {logging_mixin.py:188} INFO - [17:26:26] Fetched 1000 swaps from token0_in (Total: 24000)
[2026-01-25T17:26:27.823+0000] {logging_mixin.py:188} INFO - [17:26:27] Fetched 1000 swaps from token0_in (Total: 25000)
[2026-01-25T17:26:29.237+0000] {logging_mixin.py:188} INFO - [17:26:29] Fetched 1000 swaps from token0_in (Total: 26000)
[2026-01-25T17:26:30.856+0000] {logging_mixin.py:188} INFO - [17:26:30] Fetched 1000 swaps from token0_in (Total: 27000)
[2026-01-25T17:26:32.538+0000] {logging_mixin.py:188} INFO - [17:26:32] Fetched 1000 swaps from token0_in (Total: 28000)
[2026-01-25T17:26:34.167+0000] {logging_mixin.py:188} INFO - [17:26:34] Fetched 1000 swaps from token0_in (Total: 29000)
[2026-01-25T17:26:36.059+0000] {logging_mixin.py:188} INFO - [17:26:36] Fetched 1000 swaps from token0_in (Total: 30000)
[2026-01-25T17:26:37.619+0000] {logging_mixin.py:188} INFO - [17:26:37] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T17:26:39.092+0000] {logging_mixin.py:188} INFO - [17:26:39] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T17:26:40.562+0000] {logging_mixin.py:188} INFO - [17:26:40] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T17:26:42.467+0000] {logging_mixin.py:188} INFO - [17:26:42] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T17:26:43.858+0000] {logging_mixin.py:188} INFO - [17:26:43] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T17:26:45.830+0000] {logging_mixin.py:188} INFO - [17:26:45] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T17:26:47.351+0000] {logging_mixin.py:188} INFO - [17:26:47] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T17:26:49.169+0000] {logging_mixin.py:188} INFO - [17:26:49] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T17:26:51.027+0000] {logging_mixin.py:188} INFO - [17:26:51] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T17:26:52.870+0000] {logging_mixin.py:188} INFO - [17:26:52] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T17:26:56.713+0000] {logging_mixin.py:188} INFO - [17:26:56] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T17:26:58.385+0000] {logging_mixin.py:188} INFO - [17:26:58] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T17:27:00.838+0000] {logging_mixin.py:188} INFO - [17:27:00] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T17:27:02.994+0000] {logging_mixin.py:188} INFO - [17:27:02] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T17:27:04.684+0000] {logging_mixin.py:188} INFO - [17:27:04] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T17:27:07.141+0000] {logging_mixin.py:188} INFO - [17:27:07] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T17:27:08.868+0000] {logging_mixin.py:188} INFO - [17:27:08] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T17:27:10.556+0000] {logging_mixin.py:188} INFO - [17:27:10] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T17:27:13.443+0000] {logging_mixin.py:188} INFO - [17:27:13] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T17:27:15.011+0000] {logging_mixin.py:188} INFO - [17:27:15] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T17:27:16.777+0000] {logging_mixin.py:188} INFO - [17:27:16] Fetched 1000 swaps from token0_in (Total: 51000)
