[2026-01-25T16:37:24.514+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T16:37:24.522+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T16:37:24.532+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:60} INFO - Started process 35667 to run task
[2026-01-25T16:37:24.538+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpadwu87td']
[2026-01-25T16:37:24.541+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask fetch_and_store_swaps
[2026-01-25T16:37:24.576+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T16:37:24.633+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:37:22.510543+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-25T16:37:22.510543+00:00'
[2026-01-25T16:37:24.650+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-11-06 21:22:11. Fetching new swaps...
[2026-01-25T16:37:24.651+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-11-06 21:22:12 to 2026-01-25 16:37:24.651191
[2026-01-25T16:37:25.751+0000] {logging_mixin.py:188} INFO - [16:37:25] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T16:37:26.852+0000] {logging_mixin.py:188} INFO - [16:37:26] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T16:37:28.341+0000] {logging_mixin.py:188} INFO - [16:37:28] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T16:37:30.207+0000] {logging_mixin.py:188} INFO - [16:37:30] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T16:37:32.209+0000] {logging_mixin.py:188} INFO - [16:37:32] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T16:37:33.622+0000] {logging_mixin.py:188} INFO - [16:37:33] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T16:37:35.363+0000] {logging_mixin.py:188} INFO - [16:37:35] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T16:37:37.302+0000] {logging_mixin.py:188} INFO - [16:37:37] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T16:37:38.642+0000] {logging_mixin.py:188} INFO - [16:37:38] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T16:37:40.589+0000] {logging_mixin.py:188} INFO - [16:37:40] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T16:37:41.996+0000] {logging_mixin.py:188} INFO - [16:37:41] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T16:37:43.558+0000] {logging_mixin.py:188} INFO - [16:37:43] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T16:37:45.263+0000] {logging_mixin.py:188} INFO - [16:37:45] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T16:37:46.572+0000] {logging_mixin.py:188} INFO - [16:37:46] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T16:37:48.281+0000] {logging_mixin.py:188} INFO - [16:37:48] Fetched 1000 swaps from token0_in (Total: 15000)
[2026-01-25T16:37:49.581+0000] {logging_mixin.py:188} INFO - [16:37:49] Fetched 1000 swaps from token0_in (Total: 16000)
[2026-01-25T16:37:51.038+0000] {logging_mixin.py:188} INFO - [16:37:51] Fetched 1000 swaps from token0_in (Total: 17000)
[2026-01-25T16:37:52.634+0000] {logging_mixin.py:188} INFO - [16:37:52] Fetched 1000 swaps from token0_in (Total: 18000)
[2026-01-25T16:37:54.056+0000] {logging_mixin.py:188} INFO - [16:37:54] Fetched 1000 swaps from token0_in (Total: 19000)
