[2026-01-25T17:47:02.908+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.934+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [queued]>
[2026-01-25T17:47:02.935+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T17:47:02.962+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:37:22.510543+00:00
[2026-01-25T17:47:02.981+0000] {standard_task_runner.py:60} INFO - Started process 31153 to run task
[2026-01-25T17:47:02.997+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'manual__2026-01-25T16:37:22.510543+00:00', '--job-id', '19', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmp3wduu174']
[2026-01-25T17:47:03.012+0000] {standard_task_runner.py:88} INFO - Job 19: Subtask fetch_and_store_swaps
[2026-01-25T17:47:03.182+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps manual__2026-01-25T16:37:22.510543+00:00 [running]> on host f2da44f39545
[2026-01-25T17:47:03.345+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:37:22.510543+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-25T16:37:22.510543+00:00'
[2026-01-25T17:47:03.407+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-12-05 02:15:59. Fetching new swaps...
[2026-01-25T17:47:03.409+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-12-05 02:16:00 to 2026-01-25 17:47:03.409253
[2026-01-25T17:47:04.731+0000] {logging_mixin.py:188} INFO - [17:47:04] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T17:47:06.250+0000] {logging_mixin.py:188} INFO - [17:47:06] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T17:47:07.885+0000] {logging_mixin.py:188} INFO - [17:47:07] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T17:47:09.545+0000] {logging_mixin.py:188} INFO - [17:47:09] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T17:47:11.179+0000] {logging_mixin.py:188} INFO - [17:47:11] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T17:47:12.530+0000] {logging_mixin.py:188} INFO - [17:47:12] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T17:47:13.922+0000] {logging_mixin.py:188} INFO - [17:47:13] Fetched 1000 swaps from token0_in (Total: 7000)
