[2026-01-25T17:00:02.867+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.880+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T17:00:02.881+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T17:00:02.899+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:00:00+00:00
[2026-01-25T17:00:02.913+0000] {standard_task_runner.py:60} INFO - Started process 67246 to run task
[2026-01-25T17:00:02.918+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T16:00:00+00:00', '--job-id', '13', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpy1re9jbi']
[2026-01-25T17:00:02.923+0000] {standard_task_runner.py:88} INFO - Job 13: Subtask fetch_and_store_swaps
[2026-01-25T17:00:02.992+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T17:00:03.088+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-25T16:00:00+00:00'
[2026-01-25T17:00:03.110+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2025-11-16 16:24:11. Fetching new swaps...
[2026-01-25T17:00:03.111+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2025-11-16 16:24:12 to 2026-01-25 17:00:03.111517
[2026-01-25T17:00:04.458+0000] {logging_mixin.py:188} INFO - [17:00:04] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T17:00:06.299+0000] {logging_mixin.py:188} INFO - [17:00:06] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T17:00:08.602+0000] {logging_mixin.py:188} INFO - [17:00:08] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T17:00:10.294+0000] {logging_mixin.py:188} INFO - [17:00:10] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T17:00:11.983+0000] {logging_mixin.py:188} INFO - [17:00:11] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T17:00:13.544+0000] {logging_mixin.py:188} INFO - [17:00:13] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T17:00:15.199+0000] {logging_mixin.py:188} INFO - [17:00:15] Fetched 1000 swaps from token0_in (Total: 7000)
