[2026-01-25T19:00:03.735+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [queued]>
[2026-01-25T19:00:03.741+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [queued]>
[2026-01-25T19:00:03.742+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T19:00:03.755+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 18:00:00+00:00
[2026-01-25T19:00:03.762+0000] {standard_task_runner.py:60} INFO - Started process 30036 to run task
[2026-01-25T19:00:03.767+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T18:00:00+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmprzi_77hm']
[2026-01-25T19:00:03.771+0000] {standard_task_runner.py:88} INFO - Job 28: Subtask fetch_and_store_swaps
[2026-01-25T19:00:03.837+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T19:00:03.925+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='the_graph_uniswap_v3_swaps' AIRFLOW_CTX_TASK_ID='fetch_and_store_swaps' AIRFLOW_CTX_EXECUTION_DATE='2026-01-25T18:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-25T18:00:00+00:00'
[2026-01-25T19:00:03.950+0000] {logging_mixin.py:188} INFO - Incremental run: Last record at 2026-01-07 02:12:47. Fetching new swaps...
[2026-01-25T19:00:03.951+0000] {logging_mixin.py:188} INFO - Fetching swaps from 2026-01-07 02:12:48 to 2026-01-25 19:00:03.951697
[2026-01-25T19:00:05.827+0000] {logging_mixin.py:188} INFO - [19:00:05] Fetched 1000 swaps from token0_in (Total: 1000)
[2026-01-25T19:00:07.286+0000] {logging_mixin.py:188} INFO - [19:00:07] Fetched 1000 swaps from token0_in (Total: 2000)
[2026-01-25T19:00:09.329+0000] {logging_mixin.py:188} INFO - [19:00:09] Fetched 1000 swaps from token0_in (Total: 3000)
[2026-01-25T19:00:11.350+0000] {logging_mixin.py:188} INFO - [19:00:11] Fetched 1000 swaps from token0_in (Total: 4000)
[2026-01-25T19:00:13.473+0000] {logging_mixin.py:188} INFO - [19:00:13] Fetched 1000 swaps from token0_in (Total: 5000)
[2026-01-25T19:00:15.434+0000] {logging_mixin.py:188} INFO - [19:00:15] Fetched 1000 swaps from token0_in (Total: 6000)
[2026-01-25T19:00:17.389+0000] {logging_mixin.py:188} INFO - [19:00:17] Fetched 1000 swaps from token0_in (Total: 7000)
[2026-01-25T19:00:19.710+0000] {logging_mixin.py:188} INFO - [19:00:19] Fetched 1000 swaps from token0_in (Total: 8000)
[2026-01-25T19:00:21.879+0000] {logging_mixin.py:188} INFO - [19:00:21] Fetched 1000 swaps from token0_in (Total: 9000)
[2026-01-25T19:00:23.786+0000] {logging_mixin.py:188} INFO - [19:00:23] Fetched 1000 swaps from token0_in (Total: 10000)
[2026-01-25T19:00:25.873+0000] {logging_mixin.py:188} INFO - [19:00:25] Fetched 1000 swaps from token0_in (Total: 11000)
[2026-01-25T19:00:28.079+0000] {logging_mixin.py:188} INFO - [19:00:28] Fetched 1000 swaps from token0_in (Total: 12000)
[2026-01-25T19:00:30.245+0000] {logging_mixin.py:188} INFO - [19:00:30] Fetched 1000 swaps from token0_in (Total: 13000)
[2026-01-25T19:00:32.280+0000] {logging_mixin.py:188} INFO - [19:00:32] Fetched 1000 swaps from token0_in (Total: 14000)
[2026-01-25T19:00:34.461+0000] {logging_mixin.py:188} INFO - [19:00:34] Fetched 1000 swaps from token0_in (Total: 15000)
[2026-01-25T19:00:36.435+0000] {logging_mixin.py:188} INFO - [19:00:36] Fetched 1000 swaps from token0_in (Total: 16000)
[2026-01-25T19:00:38.503+0000] {logging_mixin.py:188} INFO - [19:00:38] Fetched 1000 swaps from token0_in (Total: 17000)
[2026-01-25T19:00:40.429+0000] {logging_mixin.py:188} INFO - [19:00:40] Fetched 1000 swaps from token0_in (Total: 18000)
